"age","sexe","nivetud","occup","qualif","freres.soeurs","clso","relig","trav.imp","trav.satisf","hard.rock","lecture.bd","peche.chasse","cuisine","bricol","cinema","sport","heures.tv","age_group"
74,"Femme","Primaires","Retraite",NA,2,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",3,"65+"
60,"Femme","Supérieur & tech","Au foyer","Cadre",3,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Oui","Oui","Oui",2,"50-64"
23,"Homme","Techno/Pro long","Chomeur","Employe",4,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Non",4,"18-24"
57,"Femme","Supérieur & tech","Exerce une profession",NA,1,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Non","Non",0,"50-64"
55,"Femme","Techno/Pro court","Chomeur","Employe",1,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Non","Oui",3,"50-64"
71,"Homme","Primaires","Retire des affaires",NA,5,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Oui",3,"65+"
39,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",0,"Oui","Rejet","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",2,"35-49"
56,"Homme","Primaires","Exerce une profession",NA,8,"Oui","Ni croyance ni appartenance","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Non","Non",2,"50-64"
54,"Homme","1er cycle","Exerce une profession","Ouvrier qualifie",2,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Non","Non",4,"50-64"
27,"Femme","Primaires","Exerce une profession","Employe",1,"Non","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Non","Oui","Oui",2,"25-34"
40,"Homme","1er cycle","Exerce une profession","Ouvrier qualifie",2,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Non",4,"35-49"
42,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",3,"Non","Ni croyance ni appartenance","Aussi important que le reste","Insatisfaction","Non","Non","Oui","Non","Oui","Non","Non",3,"35-49"
44,"Femme","1er cycle","Exerce une profession","Employe",8,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Oui","Oui","Oui",0.4,"35-49"
41,"Femme","2eme cycle","Au foyer",NA,5,"Ne sait pas","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Non","Oui","Non",2,"35-49"
30,"Homme","Techno/Pro long","Exerce une profession","Ouvrier qualifie",1,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Oui","Non",1.4,"25-34"
48,"Homme","Techno/Pro court","Exerce une profession","Ouvrier specialise",2,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Non",1,"35-49"
59,"Femme","Techno/Pro court","Retraite","Employe",3,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Non","Oui",3,"50-64"
46,"Femme","Techno/Pro court","Exerce une profession","Employe",1,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Non",2,"35-49"
33,"Femme","Techno/Pro court","Exerce une profession","Employe",4,"Oui","Ni croyance ni appartenance","Peu important","Insatisfaction","Non","Non","Non","Oui","Oui","Oui","Non",3,"25-34"
70,"Femme","1er cycle","Autre inactif","Ouvrier qualifie",5,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",2,"65+"
67,"Homme","2eme cycle","Retraite","Ouvrier qualifie",2,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",3,"65+"
75,"Femme","Primaires","Retire des affaires",NA,2,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",1,"65+"
22,"Femme","Techno/Pro court","Exerce une profession","Employe",3,"Oui","Rejet","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Oui",2,"18-24"
51,"Femme","Supérieur & tech","Exerce une profession",NA,4,"Non","Pratiquant regulier","Aussi important que le reste","Satisfaction","Non","Oui","Non","Non","Oui","Oui","Non",0,"50-64"
41,"Femme","Techno/Pro long","Exerce une profession","Employe",6,"Non","Ni croyance ni appartenance","Aussi important que le reste","Equilibre","Non","Oui","Non","Oui","Non","Oui","Non",5,"35-49"
53,"Femme","Primaires","Autre inactif","Employe",5,"Non","NSP ou NVPR",NA,NA,"Non","Non","Non","Oui","Oui","Non","Non",2,"50-64"
70,"Femme","Primaires","Retraite","Ouvrier qualifie",6,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",3,"65+"
79,"Homme","Supérieur & tech","Retraite","Cadre",2,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Oui","Non","Oui",4,"65+"
31,"Homme","Supérieur & tech","Exerce une profession",NA,3,"Oui","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Oui","Oui",1,"25-34"
34,"Femme","Supérieur & tech","Exerce une profession","Cadre",0,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Oui","Non",0.4,"25-34"
72,"Homme","1er cycle","Retraite","Ouvrier qualifie",7,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",4,"65+"
59,"Homme","2eme cycle","Exerce une profession","Cadre",2,"Oui","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Oui","Non","Oui","Non","Non",1,"50-64"
63,"Homme","2eme cycle","Retraite","Profession intermediaire",1,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Oui","Non","Non",4,"50-64"
77,"Homme","Supérieur & tech","Retraite","Cadre",4,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",3,"65+"
48,"Homme","Supérieur & tech","Exerce une profession","Cadre",1,"Oui","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Non",0.6,"35-49"
25,"Femme","Supérieur & tech","Exerce une profession","Cadre",1,"Oui","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Oui",2,"25-34"
62,"Homme","Techno/Pro court","Retraite","Ouvrier qualifie",10,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Non","Non",4,"50-64"
23,"Femme",NA,"Etudiant, eleve",NA,0,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Oui","Oui",0,"18-24"
66,"Femme","< Etudes primaires","Au foyer",NA,13,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Oui","Non","Non",6,"65+"
90,"Femme","Primaires","Au foyer","Employe",7,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",4,"65+"
43,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",6,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Oui","Oui","Non",2,"35-49"
32,"Homme","2eme cycle","Exerce une profession","Employe",1,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Oui","Non","Oui","Oui","Oui",4,"25-34"
54,"Femme","1er cycle","Au foyer","Ouvrier specialise",4,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",6,"50-64"
19,"Femme",NA,"Exerce une profession","Employe",0,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Non",10,"18-24"
61,"Femme","Techno/Pro court","Retraite","Cadre",1,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",4,"50-64"
57,"Homme","Primaires","Exerce une profession",NA,0,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Oui",1,"50-64"
54,"Femme","Supérieur & tech","Exerce une profession","Cadre",2,"Oui","Pratiquant occasionnel","Le plus important","Insatisfaction","Non","Non","Non","Non","Oui","Oui","Non",2.9,"50-64"
31,"Homme","Primaires","Exerce une profession","Ouvrier specialise",8,"Non","Ni croyance ni appartenance","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Non",3,"25-34"
33,"Homme","Techno/Pro court","Exerce une profession","Profession intermediaire",1,"Oui","Ni croyance ni appartenance","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Oui",0,"25-34"
86,"Femme","Primaires","Au foyer","Ouvrier specialise",2,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",5,"65+"
84,"Femme","Primaires","Retire des affaires",NA,3,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Oui",4,"65+"
74,"Femme","Primaires","Retraite","Employe",1,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",2,"65+"
49,"Femme","Supérieur & tech","Exerce une profession","Cadre",1,"Non","Pratiquant regulier","Moins important que le reste","Insatisfaction","Non","Oui","Non","Oui","Non","Oui","Oui",0.9,"35-49"
47,"Homme","< Etudes primaires","Exerce une profession","Ouvrier qualifie",5,"Non","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Oui",3,"35-49"
25,"Homme",NA,"Etudiant, eleve",NA,2,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Oui","Non",0.6,"25-34"
52,"Homme","Primaires","Exerce une profession","Employe",1,"Non","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Oui",0,"50-64"
71,"Homme","Supérieur & tech","Retraite","Cadre",1,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Non",2,"65+"
56,"Homme","Techno/Pro long","Exerce une profession","Technicien",2,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",2,"50-64"
58,"Femme","Supérieur & tech","Retraite","Profession intermediaire",0,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Oui","Oui",1,"50-64"
66,"Homme","Techno/Pro court","Retire des affaires",NA,4,"Non","Pratiquant regulier",NA,NA,"Non","Non","Oui","Oui","Non","Non","Non",7,"65+"
70,"Homme","1er cycle","Retraite","Employe",4,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",2,"65+"
51,"Femme","2eme cycle","Au foyer","Profession intermediaire",0,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Oui","Oui","Non","Non","Non",2,"50-64"
54,"Homme","1er cycle","Exerce une profession","Autre",3,"Non","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",1,"50-64"
73,"Homme","Primaires","Retraite","Ouvrier qualifie",1,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Non","Oui","Non","Non",0,"65+"
35,"Femme","Supérieur & tech","Exerce une profession","Profession intermediaire",4,"Oui","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Oui",0.3,"35-49"
64,"Femme","2eme cycle","Retraite","Employe",3,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Non",4,"50-64"
51,"Femme","2eme cycle","Exerce une profession","Profession intermediaire",1,"Non","Rejet","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Non",5,"50-64"
68,"Homme","Techno/Pro court","Retire des affaires",NA,2,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Non","Non",3,"65+"
42,"Femme","2eme cycle","Au foyer","Employe",3,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Oui","Oui",3,"35-49"
49,"Femme","Techno/Pro court","Exerce une profession","Ouvrier specialise",5,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",6,"35-49"
55,"Homme","Primaires","Retraite","Employe",3,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Oui","Non","Non","Non","Non",0,"50-64"
49,"Femme","Supérieur & tech","Exerce une profession","Cadre",0,"Oui","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Oui","Non",1,"35-49"
60,"Femme","Techno/Pro court","Retraite","Employe",6,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",2,"50-64"
71,"Homme","Primaires","Retraite",NA,5,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",1,"65+"
75,"Femme","Primaires","Retraite","Employe",3,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",5,"65+"
36,"Homme","Supérieur & tech","Exerce une profession","Cadre",2,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Oui",1,"35-49"
78,"Femme","Primaires","Retire des affaires",NA,3,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",0,"65+"
19,"Femme",NA,"Etudiant, eleve",NA,1,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Oui","Oui","Non",0,"18-24"
23,"Femme","Supérieur & tech","Chomeur","Employe",2,"Oui","Ni croyance ni appartenance",NA,NA,"Non","Oui","Non","Non","Non","Non","Non",3,"18-24"
81,"Homme","2eme cycle","Retire des affaires",NA,1,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Oui",3,"65+"
41,"Homme","Supérieur & tech","Exerce une profession",NA,1,"Non","Ni croyance ni appartenance","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Non",1,"35-49"
58,"Homme","Techno/Pro court","Exerce une profession","Profession intermediaire",2,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Non","Non",3,"50-64"
37,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",1,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Oui","Non","Oui",3,"35-49"
49,"Homme","Techno/Pro court","Exerce une profession","Technicien",5,"Non","Rejet","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Non",1,"35-49"
55,"Homme","1er cycle","Exerce une profession","Ouvrier qualifie",6,"Non","Appartenance sans pratique","Aussi important que le reste","Insatisfaction","Non","Non","Non","Oui","Oui","Non","Non",4,"50-64"
51,"Homme","1er cycle","Exerce une profession","Ouvrier qualifie",4,"Non","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Oui",3,"50-64"
58,"Homme","Supérieur & tech","Exerce une profession","Autre",7,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Non",2,"50-64"
29,"Femme","1er cycle","Au foyer","Ouvrier specialise",6,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",2,"25-34"
47,"Homme","Supérieur & tech","Exerce une profession","Profession intermediaire",4,"Non","Ni croyance ni appartenance","Peu important","Equilibre","Non","Non","Non","Non","Non","Oui","Oui",3,"35-49"
78,"Homme","Primaires","Retraite","Ouvrier specialise",4,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",5,"65+"
31,"Homme","Supérieur & tech","Exerce une profession","Technicien",2,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Oui","Non","Non","Oui","Non","Oui","Oui",2,"25-34"
55,"Femme","Supérieur & tech","Au foyer","Autre",2,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Non","Non",2,"50-64"
42,"Femme","Techno/Pro court","Exerce une profession","Employe",3,"Oui","Pratiquant regulier","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Non","Oui",2,"35-49"
35,"Femme","2eme cycle","Exerce une profession","Employe",3,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",1,"35-49"
50,"Homme","Primaires","Exerce une profession","Employe",2,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Non",2,"50-64"
78,"Femme","Primaires","Retraite","Employe",3,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",3,"65+"
56,"Femme","Techno/Pro long","Exerce une profession",NA,1,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Non","Non",1,"50-64"
40,"Femme","Techno/Pro court","Exerce une profession","Autre",3,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Oui","Non",2,"35-49"
35,"Femme","1er cycle","Au foyer","Employe",3,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",5,"35-49"
46,"Homme","N'a jamais fait d'etudes","Autre inactif",NA,7,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Non","Non",5,"35-49"
50,"Femme","Techno/Pro court","Exerce une profession","Employe",7,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",0,"50-64"
