"short_name","player_positions","overall","potential","value_eur","wage_eur","age","dob","height_cm","weight_kg","club_team_id","club_name","league_name","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","nation_jersey_number","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","body_type","real_face","release_clause_eur","player_traits","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed"
"N, Kanté","CDM, CM",90,90,1e+08,230000,30,1991-03-29,168,70,5,"Chelsea","English Premier League",1,"RCM",7,NA,2016-07-16,2023,18,"France",1335,"CDM",13,"Right",3,2,4,"Medium/High","Unique","Yes",1.85e+08,"Leadership",78,66,75,82,87,83,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10,NA
"K, Benzema","CF, ST",89,89,6.6e+07,350000,33,1987-12-19,185,81,243,"Real Madrid CF","Spain Primera Division",1,"CF",9,NA,2009-07-09,2023,18,"France",1335,"CF",19,"Right",4,4,4,"Medium/Medium","Normal (170-185)","Yes",135300000,"Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",76,86,81,87,39,77,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18,13,11,5,5,7,NA
"T, Courtois","GK",89,91,85500000,250000,29,1992-05-11,199,96,243,"Real Madrid CF","Spain Primera Division",1,"GK",1,NA,2018-08-09,2026,7,"Belgium",1325,"GK",1,"Left",3,1,4,"Medium/Medium","Unique","Yes",181700000,"GK Long Throw, Comes For Crosses",NA,NA,NA,NA,NA,NA,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88,46
"H, Son","LM, CF, LW",89,89,1.04e+08,220000,28,1992-07-08,183,78,18,"Tottenham Hotspur","English Premier League",1,"LW",7,NA,2015-08-28,2025,167,"Korea Republic",NA,NA,NA,"Right",5,4,4,"High/High","Unique","Yes",197600000,"Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,NA
"Casemiro","CDM",89,89,8.8e+07,310000,29,1992-02-23,185,84,243,"Real Madrid CF","Spain Primera Division",1,"CDM",14,NA,2013-07-11,2025,54,"Brazil",NA,NA,NA,"Right",3,2,3,"High/High","Unique","Yes",180400000,"Power Free-Kick, Dives Into Tackles (AI), Long Shot Taker (AI), Team Player",65,73,76,73,86,90,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,NA
"V, van Dijk","CB",89,89,8.6e+07,230000,29,1991-07-08,193,92,9,"Liverpool","English Premier League",1,"LCB",4,NA,2018-01-01,2025,34,"Netherlands",105035,"LCB",4,"Right",3,2,4,"Medium/Medium","Unique","Yes",159100000,"Leadership, Long Passer (AI), Power Header",78,60,71,72,91,84,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,NA
"S, Mané","LW",89,89,1.01e+08,270000,29,1992-04-10,175,69,9,"Liverpool","English Premier League",1,"LW",10,NA,2016-07-01,2023,136,"Senegal",NA,NA,NA,"Right",4,4,4,"High/Medium","Unique","Yes",186900000,"Flair, Speed Dribbler (AI)",91,83,80,89,44,77,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14,NA
"M, Salah","RW",89,89,1.01e+08,270000,29,1992-06-15,175,71,9,"Liverpool","English Premier League",1,"RW",11,NA,2017-07-01,2023,111,"Egypt",NA,NA,NA,"Left",3,4,4,"High/Medium","Unique","Yes",186900000,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,NA
"Ederson","GK",89,91,9.4e+07,2e+05,27,1993-08-17,188,86,10,"Manchester City","English Premier League",1,"GK",31,NA,2017-07-01,2026,54,"Brazil",NA,NA,NA,"Left",3,1,3,"Medium/Medium","Unique","Yes",1.81e+08,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",NA,NA,NA,NA,NA,NA,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64
"J, Kimmich","CDM, RB",89,90,1.08e+08,160000,26,1995-02-08,177,75,21,"FC Bayern München","German 1, Bundesliga",1,"RDM",6,NA,2015-07-01,2025,21,"Germany",1337,"RDM",6,"Right",4,3,4,"High/Medium","Lean (170-185)","Yes",186300000,"Leadership, Long Passer (AI), Playmaker (AI)",70,73,86,84,83,79,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15,NA
"Alisson","GK",89,90,8.2e+07,190000,28,1992-10-02,191,91,9,"Liverpool","English Premier League",1,"GK",1,NA,2018-07-19,2027,54,"Brazil",NA,NA,NA,"Right",3,1,3,"Medium/Medium","Unique","Yes",157900000,"GK Long Throw, Rushes Out Of Goal",NA,NA,NA,NA,NA,NA,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,52
"G, Donnarumma","GK",89,93,119500000,110000,22,1999-02-25,196,90,73,"Paris Saint-Germain","French Ligue 1",1,"GK",50,NA,2021-07-15,2026,27,"Italy",1343,"GK",21,"Right",3,1,3,"Medium/Medium","Unique","Yes",2.3e+08,"Rushes Out Of Goal, Comes For Crosses",NA,NA,NA,NA,NA,NA,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,68,20,14,16,91,83,79,85,90,52
"Sergio Ramos","CB",88,88,2.4e+07,115000,35,1986-03-30,184,82,73,"Paris Saint-Germain","French Ligue 1",1,"LCB",4,NA,2021-07-08,2023,45,"Spain",1362,"SUB",15,"Right",3,3,4,"High/Medium","Unique","Yes",44400000,"Injury Prone, Dives Into Tackles (AI), Leadership, Long Passer (AI), Power Header, Team Player",70,70,76,74,88,84,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91,11,8,9,7,11,NA
"L, Suárez","ST",88,88,44500000,135000,34,1987-01-24,182,83,240,"Atlético de Madrid","Spain Primera Division",1,"RS",9,NA,2020-09-25,2022,60,"Uruguay",NA,NA,NA,"Right",4,3,5,"High/Medium","Unique","Yes",91200000,"Solid Player, Outside Foot Shot",72,90,82,84,47,83,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38,27,25,31,33,37,NA
"T, Kroos","CM",88,88,7.5e+07,310000,31,1990-01-04,183,76,243,"Real Madrid CF","Spain Primera Division",1,"LCM",8,NA,2014-07-17,2023,21,"Germany",NA,NA,NA,"Right",5,3,4,"Medium/Medium","Normal (170-185)","Yes",153800000,"Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",53,81,91,81,71,68,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,10,11,13,7,10,NA
"R, Lukaku","ST",88,88,93500000,260000,28,1993-05-13,191,94,5,"Chelsea","English Premier League",1,"ST",9,NA,2021-08-12,2026,7,"Belgium",1325,"ST",9,"Left",4,3,4,"Medium/Medium","Unique","Yes",1.73e+08,"Speed Dribbler (AI), Power Header, Team Player",84,87,74,78,39,83,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10,NA
"K, Navas","GK",88,88,15500000,130000,34,1986-12-15,185,80,73,"Paris Saint-Germain","French Ligue 1",1,"SUB",1,NA,2019-09-02,2024,72,"Costa Rica",NA,NA,NA,"Right",3,1,3,"Medium/Medium","Normal (185+)","Yes",28700000,"GK Long Throw, Cautious With Crosses",NA,NA,NA,NA,NA,NA,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,56,74,39,75,13,32,22,16,68,25,67,28,14,14,89,84,75,87,89,54
"R, Sterling","LW, RW",88,89,107500000,290000,26,1994-12-08,170,69,10,"Manchester City","English Premier League",1,"SUB",7,NA,2015-07-14,2023,14,"England",1318,"LW",10,"Right",3,4,4,"High/Medium","Unique","Yes",206900000,"Flair, Speed Dribbler (AI)",91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,NA
"Bruno Fernandes","CAM",88,89,107500000,250000,26,1994-09-08,179,69,11,"Manchester United","English Premier League",1,"CAM",18,NA,2020-01-30,2025,38,"Portugal",1354,"LCM",11,"Right",3,4,3,"High/High","Unique","Yes",206900000,"Solid Player, Leadership, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",75,86,89,84,70,77,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,NA
"E, Haaland","ST",88,93,137500000,110000,20,2000-07-21,194,94,22,"Borussia Dortmund","German 1, Bundesliga",1,"RS",9,NA,2020-01-01,2024,36,"Norway",1352,"LS",23,"Left",3,3,4,"High/High","Unique","Yes",244100000,"Solid Player, Speed Dribbler (AI)",89,91,65,80,45,88,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,44,43,30,7,14,13,11,7,NA
"S, Agüero","ST",87,87,5.1e+07,260000,33,1988-06-02,173,70,241,"FC Barcelona","Spain Primera Division",1,"ST",19,NA,2021-07-01,2023,52,"Argentina",1369,"SUB",9,"Right",4,4,4,"High/Medium","Unique","Yes",104600000,"Injury Prone, Chip Shot (AI)",71,89,75,87,33,69,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14,NA
"H, Lloris","GK",87,87,13500000,125000,34,1986-12-26,188,82,18,"Tottenham Hotspur","English Premier League",1,"GK",1,NA,2012-08-31,2022,18,"France",1335,"GK",1,"Left",1,1,4,"Medium/Medium","Unique","Yes",25700000,"Leadership, Team Player, Rushes Out Of Goal",NA,NA,NA,NA,NA,NA,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90,61
"L, Modrić","CM",87,87,3.2e+07,190000,35,1985-09-09,172,66,243,"Real Madrid CF","Spain Primera Division",1,"RCM",10,NA,2012-08-01,2022,10,"Croatia",NA,NA,NA,"Right",4,4,4,"Medium/Medium","Lean (170-185)","Yes",65600000,"Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",73,76,89,88,72,66,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,13,9,7,14,9,NA
"Á, Di María","RW, LW",87,87,49500000,160000,33,1988-02-14,180,69,73,"Paris Saint-Germain","French Ligue 1",1,"SUB",11,NA,2015-08-06,2022,52,"Argentina",1369,"LW",11,"Left",2,5,4,"High/Medium","Unique","Yes",91600000,"Flair, Long Shot Taker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",83,81,86,87,48,69,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,10,7,11,12,11,NA
"W, Szczęsny","GK",87,87,4.2e+07,105000,31,1990-04-18,195,90,45,"Juventus","Italian Serie A",1,"GK",1,NA,2017-07-19,2024,37,"Poland",1353,"GK",1,"Right",3,1,3,"Medium/Medium","Lean (185+)","Yes",69300000,"Comes For Crosses",NA,NA,NA,NA,NA,NA,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,82,73,87,88,49
"T, Müller","CAM, RM, RW",87,87,6.6e+07,140000,31,1989-09-13,185,76,21,"FC Bayern München","German 1, Bundesliga",1,"CAM",25,NA,2008-08-10,2023,21,"Germany",NA,NA,NA,"Right",4,3,4,"High/High","Lean (185+)","Yes",108900000,"Solid Player, Leadership, Outside Foot Shot",67,84,83,80,56,71,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14,NA
"C, Immobile","ST",87,87,67500000,125000,31,1990-02-20,185,85,46,"Lazio","Italian Serie A",1,"ST",17,NA,2016-07-27,2025,27,"Italy",1343,"ST",17,"Right",4,3,4,"High/Medium","Unique","Yes",114800000,"Outside Foot Shot, Chip Shot (AI)",86,87,67,81,39,77,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32,6,8,15,12,6,NA
"P, Pogba","CM, LM",87,87,79500000,220000,28,1993-03-15,191,84,11,"Manchester United","English Premier League",1,"RDM",6,NA,2016-08-09,2022,18,"France",1335,"RCM",6,"Right",4,5,4,"High/Medium","Unique","Yes",147100000,"Injury Prone, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",71,81,86,86,65,83,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3,NA
"M, Verratti","CM, CAM",87,87,79500000,155000,28,1992-11-05,165,60,73,"Paris Saint-Germain","French Ligue 1",1,"LCM",6,NA,2012-07-18,2024,27,"Italy",1343,"LCM",6,"Right",4,4,3,"Medium/High","Unique","Yes",147100000,"Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot",64,61,87,91,79,67,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,NA
"Marquinhos","CB, CDM",87,90,90500000,135000,27,1994-05-14,183,75,73,"Paris Saint-Germain","French Ligue 1",1,"RCB",5,NA,2013-07-19,2024,54,"Brazil",NA,NA,NA,"Right",3,3,3,"Medium/High","Normal (170-185)","Yes",174200000,"Leadership, Long Passer (AI), Power Header, Team Player",81,53,75,74,89,81,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13,NA
"L, Goretzka","CM, CDM",87,88,9.3e+07,140000,26,1995-02-06,189,82,21,"FC Bayern München","German 1, Bundesliga",1,"LDM",8,NA,2018-07-01,2026,21,"Germany",1337,"LDM",8,"Right",4,3,4,"High/Medium","Unique","Yes",160400000,"Dives Into Tackles (AI), Long Shot Taker (AI)",81,82,82,84,81,86,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9,NA
"P, Dybala","CF, CAM",87,88,9.3e+07,160000,27,1993-11-15,177,75,45,"Juventus","Italian Serie A",1,"CAM",10,NA,2015-07-01,2022,52,"Argentina",1369,"SUB",21,"Left",3,4,3,"Medium/Medium","Unique","Yes",160400000,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",84,86,86,90,40,60,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,NA
"A, Robertson","LB",87,88,83500000,175000,27,1994-03-11,178,64,9,"Liverpool","English Premier League",1,"LB",26,NA,2017-07-21,2026,42,"Scotland",1359,"LWB",3,"Left",2,3,3,"High/High","Unique","Yes",160700000,"Leadership, Early Crosser, Speed Dribbler (AI)",84,61,81,81,82,76,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14,NA
"F, de Jong","CM, CDM, CB",87,92,119500000,210000,24,1997-05-12,180,74,241,"FC Barcelona","Spain Primera Division",1,"RCM",21,NA,2019-07-01,2026,34,"Netherlands",105035,"CDM",21,"Right",3,4,3,"High/Medium","Unique","Yes",253900000,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81,69,85,88,77,78,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,NA
"T, Alexander-Arnold","RB",87,92,1.14e+08,150000,22,1998-10-07,180,69,9,"Liverpool","English Premier League",1,"RB",66,NA,2015-10-07,2025,14,"England",1318,"SUB",22,"Right",4,3,3,"High/Medium","Unique","Yes",219500000,"Early Crosser, Long Passer (AI), Long Shot Taker (AI)",79,68,88,80,80,72,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,NA
"J, Sancho","RM, CF, LM",87,91,116500000,150000,21,2000-03-25,180,76,11,"Manchester United","English Premier League",1,"LM",25,NA,2021-07-23,2026,14,"England",1318,"SUB",17,"Right",3,5,3,"High/Medium","Unique","Yes",224300000,"Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",81,76,82,91,36,65,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13,NA
"Rúben Dias","CB",87,91,102500000,170000,24,1997-05-14,187,82,10,"Manchester City","English Premier League",1,"RCB",3,NA,2020-09-29,2027,38,"Portugal",1354,"LCB",4,"Right",4,2,3,"Medium/High","Normal (185+)","Yes",197300000,"Solid Player, Leadership, Power Header",61,38,65,68,88,88,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,NA
"G, Chiellini","CB",86,86,1.2e+07,88000,36,1984-08-14,187,85,45,"Juventus","Italian Serie A",1,"SUB",3,NA,2005-07-01,2023,27,"Italy",1343,"LCB",3,"Left",3,2,4,"Medium/High","Normal (185+)","Yes",19800000,"Long Throw-in, Injury Prone, Dives Into Tackles (AI), Power Header, Team Player",68,46,60,59,89,85,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3,NA
"S, Handanovič","GK",86,86,7500000,78000,36,1984-07-14,193,92,44,"Inter","Italian Serie A",1,"GK",1,NA,2012-07-01,2022,44,"Slovenia",NA,NA,NA,"Right",3,1,3,"Medium/Medium","Unique","Yes",12800000,"Solid Player, GK Long Throw, Team Player",NA,NA,NA,NA,NA,NA,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87,47
"M, Hummels","CB",86,86,4.4e+07,95000,32,1988-12-16,191,96,22,"Borussia Dortmund","German 1, Bundesliga",1,"LCB",15,NA,2019-07-01,2022,21,"Germany",NA,NA,NA,"Right",3,3,4,"High/High","Normal (185+)","Yes",74800000,"Leadership, Long Passer (AI), Playmaker (AI), Power Header, Outside Foot Shot",56,59,77,73,89,77,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86,15,6,10,5,6,NA
"Jordi Alba","LB, LM",86,86,4.7e+07,2e+05,32,1989-03-21,170,68,241,"FC Barcelona","Spain Primera Division",1,"LB",18,NA,2012-07-01,2024,45,"Spain",1362,"LB",18,"Left",3,3,3,"High/Medium","Unique","Yes",96400000,"Speed Dribbler (AI)",86,69,81,83,77,71,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,NA
"Thiago","CM, CDM",86,86,6.5e+07,180000,30,1991-04-11,174,70,9,"Liverpool","English Premier League",1,"LCM",6,NA,2020-09-18,2024,45,"Spain",1362,"SUB",10,"Right",3,5,3,"Medium/Medium","Normal (170-185)","Yes",120300000,"Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",63,72,86,90,70,66,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,NA
"Sergio Busquets","CDM, CM",86,86,4.5e+07,2e+05,32,1988-07-16,189,76,241,"FC Barcelona","Spain Primera Division",1,"CDM",5,NA,2008-09-01,2023,45,"Spain",1362,"CDM",5,"Right",3,3,4,"Medium/Medium","Lean (185+)","Yes",92300000,"Leadership, Team Player",42,62,79,80,82,75,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13,NA
