Horodateur,À quelle fréquence assistes-tu aux cours magistraux ? ,  Comment travailles-tu le plus souvent ?  ,  Quelle est ta méthode dominante pour préparer les examens ?  ,  Quelle est ta motivation principale dans tes études ?  ,"  En moyenne, combien de temps passes-tu sur écran par jour ? ( hors cours obligatoires)   ",  À quoi servent principalement les études supérieures selon toi ?  ,  Peut-on réussir sans études supérieures ?  ,  Quelle est ta vision de la réussite professionnelle ?  ,"  Après tes études, tu te projettes plutôt comme :  ",  Activité extra-académique dominante  ,Où habites-tu pendant l’année universitaire ? ,  Quel type de baccalauréat as-tu obtenu ?  
20/02/2026 16:15:09,Toujours ou presque,En groupe,Exercices / annales,Obtenir un bon diplôme,Plus de 6h,Obtenir un diplôme reconnu,"Oui, mais plus difficilement",Revenus élevés,Salarié dans le privé,Sport régulier,Seul(e),Général
20/02/2026 16:15:23,Toujours ou presque,Seul(e),Fiches synthétiques personnelles,Obtenir un bon diplôme,4–6h,Obtenir un diplôme reconnu,"Oui, mais plus difficilement",Revenus élevés,Profession libérale / indépendant,Sport régulier,Chez tes parents,Général
20/02/2026 16:15:35,Souvent,Je travaille peu en dehors des cours,Exercices / annales,Intérêt intellectuel,Plus de 6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Stabilité et sécurité,Salarié dans le privé,Peu d’activité régulière,Chez tes parents,Équivalence / autre parcours
20/02/2026 16:15:54,Occasionnellement,Seul(e),Exercices / annales,Obtenir un bon diplôme,Plus de 6h,Construire un réseau social,"Oui, très souvent",Revenus élevés,Profession libérale / indépendant,Engagement associatif,Seul(e),Général
20/02/2026 16:16:04,Toujours ou presque,Seul(e),Fiches synthétiques personnelles,Intérêt intellectuel,Plus de 6h,Acquérir des compétences concrètes,"Oui, très souvent",Stabilité et sécurité,Fonctionnaire,"Activité culturelle (musique, lecture, arts)",En colocation,Équivalence / autre parcours
20/02/2026 16:16:42,Toujours ou presque,Seul(e),Relecture passive des cours,Insertion professionnelle rapide,Moins de 2h,Obtenir un diplôme reconnu,"Oui, mais plus difficilement",Autonomie / indépendance,Fonctionnaire,Peu d’activité régulière,En colocation,Équivalence / autre parcours
20/02/2026 16:16:48,Toujours ou presque,Seul(e),Relecture passive des cours,Obtenir un bon diplôme,Plus de 6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Stabilité et sécurité,Fonctionnaire,"Activité culturelle (musique, lecture, arts)",Chez tes parents,Général
20/02/2026 16:18:24,Toujours ou presque,Seul(e),Fiches synthétiques personnelles,Obtenir un bon diplôme,2–4h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Autonomie / indépendance,Salarié dans le privé,Engagement associatif,Seul(e),Général
20/02/2026 16:18:45,Souvent,En groupe,Exercices / annales,Insertion professionnelle rapide,4–6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Stabilité et sécurité,Salarié dans le privé,Sport régulier,Chez tes parents,Général
20/02/2026 16:18:45,Toujours ou presque,Je travaille peu en dehors des cours,Exercices / annales,Obtenir un bon diplôme,4–6h,Obtenir un diplôme reconnu,"Oui, mais plus difficilement",Stabilité et sécurité,Salarié dans le privé,Peu d’activité régulière,Résidence universitaire,Général
20/02/2026 16:21:14,Toujours ou presque,Seul(e),Exercices / annales,Intérêt intellectuel,Plus de 6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Revenus élevés,Entrepreneur,Sport régulier,Seul(e),Général
